客户询问,模型预测标准问Top1,模型预测标准问Top5,top1_Preds,知识库标准问,Top1是否预测正确,Top5是否包含正确标准问
怎么开通账户,如何开户？,"['如何开户？', '如何注销信用账户？', '信用账户开通条件', '如何注销证券账户？', '信用证券账户卡遗失应如何处理？']",0.978627503,如何开户？,1,1
更改交易密码,如何修改交易密码,"['如何修改交易密码', '如何修改账户交易密码？', '忘记交易密码怎么办？', '深圳证券交易所证券代码编制原则是什么？', '深市A股的增发代码是什么？']",0.999709904,如何修改交易密码,1,1
您好，我现在能开通创业板权限吗,创业板如何开通,"['创业板如何开通', '创业板权限开通的办理时间', '创业板权限首次开通？', '开通创业板权限对账户有什么要求？', '信用账户与普通账户的创业板权限需单独开立吗？']",0.973387778,创业板权限开通的办理时间,0,1
您好，这里开户佣金一般多少？,信用账户的担保品买卖佣金费率与普通账户一致吗？,"['信用账户的担保品买卖佣金费率与普通账户一致吗？', '多少资金能达到多少的佣金？', '网上开户佣金是多少？', '如何调整佣金费率？', '如何查询佣金费率？']",0.99959904,网上开户佣金是多少？,0,1
通过证卷转银行，显示失败,证券转银行为什么转不了？,"['证券转银行为什么转不了？', '外币证券转银行限额', '银证转账的时间？', '信用账户资金无法转出的原因', 'A股自助开户时转账失败，如何处理？']",0.997235119,证券转银行为什么转不了？,1,1
同步深港通股票为A+H股的，A股停牌与H股停牌是否可以？,A股和港股的显示颜色有什么区别？,"['A股和港股的显示颜色有什么区别？', '深港通股票为A+H股的，A股停牌与H股停牌是否同步？', '深港通标的股票范围？', '深港通股票交易如何操作？', '深港通和沪港通的交易日区别？']",0.999635339,深港通股票为A+H股的，A股停牌与H股停牌是否同步？,0,1
为什么转到银行不成功,证券转银行为什么转不了？,"['证券转银行为什么转不了？', '外币证券转银行限额', '当日卖出股票后可以转出资金吗？', '银证转账的时间？', '信用账户资金无法转出的原因']",0.997555196,证券转银行为什么转不了？,1,1
你好！为什么我的资金转不了,为何账户有资金无法转出？,"['为何账户有资金无法转出？', '信用账户资金无法转出的原因', '证券转银行为什么转不了？', '转账失败的原因？', '当日卖出股票后可以转出资金吗？']",0.994248033,为何账户有资金无法转出？,1,1
为什么证卷转银行不成功,证券转银行为什么转不了？,"['证券转银行为什么转不了？', '外币证券转银行限额', '银证转账的时间？', '信用账户资金无法转出的原因', '当日卖出股票后可以转出资金吗？']",0.99855274,证券转银行为什么转不了？,1,1
忘记资金账号密码怎么找回啊,如何修改账户资金密码？,"['如何修改账户资金密码？', '手机账户密码忘记了怎么办', '忘记资金密码怎么办？', '如何修改账户交易密码？', '忘记交易密码怎么办？']",0.999695897,忘记资金密码怎么办？,0,1
你好 过期身份证可以开户吗,身份证过期可以办理开户吗？,"['身份证过期可以办理开户吗？', '身份证过期如何办理？', '身份证到期影响账户交易吗？', '信用证券账户卡遗失应如何处理？', '信用账户可以网上开通吗？']",0.997870088,身份证过期可以办理开户吗？,1,1
如何查询佣金费率,如何查询佣金费率？,"['如何查询佣金费率？', '信用账户的担保品买卖佣金费率与普通账户一致吗？', '多少资金能达到多少的佣金？', '如何调整佣金费率？', '网上开户佣金是多少？']",0.999643445,如何查询佣金费率？,1,1
我转资金出来怎么被冻结了？,为何账户有资金无法转出？,"['为何账户有资金无法转出？', '信用账户资金无法转出的原因', '证券转银行为什么转不了？', '转账失败的原因？', 'A股自助开户时转账失败，如何处理？']",0.993515611,为何账户有资金无法转出？,1,1
创业版权限首次开通,创业板如何开通,"['创业板如何开通', '创业板权限首次开通？', '开通创业板权限对账户有什么要求？', '创业板权限开通的办理时间', '信用账户与普通账户的创业板权限需单独开立吗？']",0.899055719,创业板权限首次开通？,0,1
请问如何开通创业板？,创业板如何开通,"['创业板如何开通', '开通创业板权限对账户有什么要求？', '创业板权限首次开通？', '创业板权限开通的办理时间', '信用账户与普通账户的创业板权限需单独开立吗？']",0.995176315,创业板如何开通,1,1
资金密码忘了怎么办,忘记资金密码怎么办？,"['忘记资金密码怎么办？', '手机账户密码忘记了怎么办', '如何修改账户资金密码？', '忘记交易密码怎么办？', '如何修改交易密码']",0.999937892,忘记资金密码怎么办？,1,1
帮我找回客户编号,客户编号忘记了如何找回？,"['客户编号忘记了如何找回？', '同一个账号允许在不同的手机上同时登录吗？', 'B股实行T+0回转交易吗？', '信用账户可以参与逆回购吗？', '上交所逆回购的起点金额？']",0.997427881,客户编号忘记了如何找回？,1,1
银行卡怎么更换？,如何更换银行卡？,"['如何更换银行卡？', '如何绑定多张银行卡？', '如何更换同一银行的三方存管银行卡？', '信用证券账户卡遗失应如何处理？', '信用账户三方存管的银行有哪些？']",0.998612761,如何更换银行卡？,1,1
刚卖出的股票的钱   多久可以转出,当日卖出股票后可以转出资金吗？,"['当日卖出股票后可以转出资金吗？', '为何账户有资金无法转出？', '股票可以当天买入当天卖出吗？', 'ST股票为何无法买入？', '股票的交易时间？']",0.873982549,当日卖出股票后可以转出资金吗？,1,1
我还没来及办理外币银证转账业务，该如何存款那？,信用证券账户卡遗失应如何处理？,"['信用证券账户卡遗失应如何处理？', '如何更换银行卡？', '如何绑定多张银行卡？', '身份证过期可以办理开户吗？', '如何注销证券账户？']",0.9971053,未办理外币银证转账业务的客户如何存款？,0,0
深港通开通有什么条件,A股和港股的显示颜色有什么区别？,"['A股和港股的显示颜色有什么区别？', '深港通股票为A+H股的，A股停牌与H股停牌是否同步？', '深市港股通有哪些特别风险？', '深市港股通开通条件', '深港通跟沪港通的额度能共用吗？']",0.999293327,深市港股通开通条件,0,1
我已开通创业板了。,创业板如何开通,"['创业板如何开通', '创业板权限首次开通？', '开通创业板权限对账户有什么要求？', '信用账户与普通账户的创业板权限需单独开立吗？', '创业板权限开通的办理时间']",0.987204432,创业板如何开通,1,1
怎样处理信用证卷账户卡遗失？,信用证券账户卡遗失应如何处理？,"['信用证券账户卡遗失应如何处理？', 'A股账户销户需由本人亲自办理吗？', '信用账户资金无法转出的原因', '如何注销证券账户？', '如何注销信用账户？']",0.999293804,信用证券账户卡遗失应如何处理？,1,1
为什么买不了st股,如何才可以买股票？,"['如何才可以买股票？', '股票可以当天买入当天卖出吗？', 'ST股票为何无法买入？', '申报深市股票委托时，提示：证券账户无效，该如何处理？', '如何交易股票？']",0.865707576,ST股票为何无法买入？,0,1
今天卖了股票明天可以转钱出银行卡吗,当日卖出股票后可以转出资金吗？,"['当日卖出股票后可以转出资金吗？', '上交所可转债债转股能撤单吗？', '证券转银行为什么转不了？', '申购新股当天可以办理转户吗？', '外币证券转银行限额']",0.999141335,当日卖出股票后可以转出资金吗？,1,1
请问忘了户名和帐号怎么办,手机账号忘记了怎么办,"['手机账号忘记了怎么办', '手机账户密码忘记了怎么办', 'A股账户销户需由本人亲自办理吗？', '自助开户后如何补办三方存管？', '同一个账号允许在不同的手机上同时登录吗？']",0.997391701,手机账号忘记了怎么办,1,1
手续费怎么看,多少资金能达到多少的佣金？,"['多少资金能达到多少的佣金？', '信用账户的担保品买卖佣金费率与普通账户一致吗？', '如何收取股票交易佣金？', '如何调整佣金费率？', '如何查询佣金费率？']",0.98969692,如何查询佣金费率？,0,1
泸港通和深港通交易日的基本规则,深港通和沪港通的交易日区别？,"['深港通和沪港通的交易日区别？', '深港通跟沪港通的额度能共用吗？', '深港通标的股票范围？', '深市港股通有哪些特别风险？', '深港通股票交易如何操作？']",0.999467075,深港通和沪港通的交易日区别？,1,1
新三板企业的限售期是怎样规定的,新三板企业的限售期？,"['新三板企业的限售期？', '三板交易权限如何取消？', '新三板与地方产权交易市场的区别？', '新三板做市转让的申报规则？', '新三板协议转让有哪些成交情况？']",0.9975667,新三板企业的限售期？,1,1
信用账户与普通账户的创业板单独开立权限需要吗？,创业板如何开通,"['创业板如何开通', '信用账户与普通账户的创业板权限需单独开立吗？', '开通创业板权限对账户有什么要求？', '创业板权限首次开通？', '信用账户三方存管的银行有哪些？']",0.976859808,信用账户与普通账户的创业板权限需单独开立吗？,0,1
去哪开通创业板,创业板如何开通,"['创业板如何开通', '创业板权限首次开通？', '开通创业板权限对账户有什么要求？', '创业板权限开通的办理时间', '信用账户与普通账户的创业板权限需单独开立吗？']",0.989023328,创业板如何开通,1,1
银转证转不了,证券转银行为什么转不了？,"['证券转银行为什么转不了？', '外币证券转银行限额', '银证转账的时间？', '信用账户资金无法转出的原因', '转账失败的原因？']",0.999002874,证券转银行为什么转不了？,1,1
资金为什么转不出银行,为何账户有资金无法转出？,"['为何账户有资金无法转出？', '证券转银行为什么转不了？', '外币证券转银行限额', '信用账户资金无法转出的原因', '当日卖出股票后可以转出资金吗？']",0.988913715,证券转银行为什么转不了？,0,1
证券转银行怎么错误,证券转银行为什么转不了？,"['证券转银行为什么转不了？', '外币证券转银行限额', '信用账户资金无法转出的原因', '银证转账的时间？', '当日卖出股票后可以转出资金吗？']",0.999429643,证券转银行为什么转不了？,1,1
创业版怎么开通,创业板如何开通,"['创业板如何开通', '开通创业板权限对账户有什么要求？', '创业板权限首次开通？', '创业板权限开通的办理时间', '信用账户与普通账户的创业板权限需单独开立吗？']",0.968444586,创业板如何开通,1,1
是登陆密码忘记,忘记资金密码怎么办？,"['忘记资金密码怎么办？', '手机账户密码忘记了怎么办', '如何修改账户资金密码？', '如何修改交易密码', '忘记交易密码怎么办？']",0.999676943,手机账户密码忘记了怎么办,0,1
请问打新股需要具备什么条件？,新股申购的条件？,"['新股申购的条件？', '新股申购有数量要求吗？', '网下打新申报价格有什么规定？', '网下打新的备案条件？', '网下打新申报数量有什么规定？']",0.99857235,新股申购的条件？,1,1
银行资金转账失败，是怎么回事,证券转银行为什么转不了？,"['证券转银行为什么转不了？', '信用账户资金无法转出的原因', '转账失败的原因？', '外币证券转银行限额', 'B股实行T+0回转交易吗？']",0.997801721,转账失败的原因？,0,1
我的账户为什么不能登录？,如何开户？,"['如何开户？', '同一个账号允许在不同的手机上同时登录吗？', '如何注销证券账户？', '如何注销信用账户？', '信用证券账户卡遗失应如何处理？']",0.917138755,如何开户？,1,1
不能转钱到银行,证券转银行为什么转不了？,"['证券转银行为什么转不了？', '外币证券转银行限额', '银证转账的时间？', '信用账户资金无法转出的原因', '当日卖出股票后可以转出资金吗？']",0.995838881,证券转银行为什么转不了？,1,1
深港通的标的股票范围是怎样规定的,深港通标的股票范围？,"['深港通标的股票范围？', '深市港股通有哪些特别风险？', '深港通股票交易如何操作？', '深港通和沪港通的交易日区别？', 'A股和港股通退市制度的区别']",0.999677658,深港通标的股票范围？,1,1
上海B股的新户是不是必须要指定交易后才能进行交易啊,B股的委托申报方式？,"['B股的委托申报方式？', '上海B股需要指定交易吗？', 'B股实行T+0回转交易吗？', '新股申购有数量要求吗？', '网下打新申报价格有什么规定？']",0.999696255,上海B股需要指定交易吗？,0,1
可以修改银行卡么,如何绑定多张银行卡？,"['如何绑定多张银行卡？', '如何更换银行卡？', '如何更换同一银行的三方存管银行卡？', '信用证券账户卡遗失应如何处理？', '信用账户对应银行的券商代码？']",0.994057298,如何更换银行卡？,0,1
钱怎么转不出去,为何账户有资金无法转出？,"['为何账户有资金无法转出？', '信用账户资金无法转出的原因', 'A股自助开户时转账失败，如何处理？', 'A股账户如何转户？', '当日卖出股票后可以转出资金吗？']",0.992287874,为何账户有资金无法转出？,1,1
新三板购买权限如何开通,新三板权限开通流程？,"['新三板权限开通流程？', '三板交易权限如何取消？', '新三板与地方产权交易市场的区别？', '自助开户后如何补办三方存管？', '如何通过电话委托查询新股申购配号？']",0.998746872,新三板权限开通流程？,1,1
不能转到证券来,证券转银行为什么转不了？,"['证券转银行为什么转不了？', '外币证券转银行限额', '信用账户资金无法转出的原因', '银证转账的时间？', '为何账户有资金无法转出？']",0.998218596,证券转银行为什么转不了？,1,1
我的账户为啥不能转银行,信用账户资金无法转出的原因,"['信用账户资金无法转出的原因', '外币证券转银行限额', '证券转银行为什么转不了？', 'A股自助开户时转账失败，如何处理？', '为何账户有资金无法转出？']",0.997480094,证券转银行为什么转不了？,0,1
我账户钱转不出去,为何账户有资金无法转出？,"['为何账户有资金无法转出？', 'A股自助开户时转账失败，如何处理？', '信用账户资金无法转出的原因', 'A股账户如何转户？', '银证转账的时间？']",0.995708942,为何账户有资金无法转出？,1,1
交易密码忘记如何修改,如何修改交易密码,"['如何修改交易密码', '如何修改账户交易密码？', '忘记交易密码怎么办？', '深圳证券交易所证券代码编制原则是什么？', '如何修改账户资金密码？']",0.999905944,如何修改账户交易密码？,0,1
创业版怎样开通,创业板如何开通,"['创业板如何开通', '开通创业板权限对账户有什么要求？', '创业板权限首次开通？', '创业板权限开通的办理时间', '信用账户与普通账户的创业板权限需单独开立吗？']",0.970436931,创业板如何开通,1,1
佣金查询,如何查询佣金费率？,"['如何查询佣金费率？', '信用账户的担保品买卖佣金费率与普通账户一致吗？', '多少资金能达到多少的佣金？', '网上开户佣金是多少？', '如何收取股票交易佣金？']",0.999402165,如何查询佣金费率？,1,1
登录密码忘记了,手机账户密码忘记了怎么办,"['手机账户密码忘记了怎么办', '忘记资金密码怎么办？', '如何修改账户资金密码？', '忘记交易密码怎么办？', '如何修改交易密码']",0.999540925,手机账户密码忘记了怎么办,1,1
请问下我申请了一笔新股IPO是不是就会冻结一笔申购款？,新股申购有数量要求吗？,"['新股申购有数量要求吗？', '网下打新申报数量有什么规定？', '新股申购可以撤单吗？', '新股中签扣款时对现金增利有什么影响？', '新股中签如何缴款？']",0.998657227,新股申购时会冻结资金吗？,0,0
如何开户,如何开户？,"['如何开户？', '如何注销证券账户？', '如何注销信用账户？', '自助开户后如何补办三方存管？', '信用证券账户卡遗失应如何处理？']",0.998784244,如何开户？,1,1
我想把上交所可转债债转股撤单，可以吗,上交所可转债债转股能撤单吗？,"['上交所可转债债转股能撤单吗？', '深交所转股申报当日如何撤销？', '如何转让中小企业私募债券？', '当日卖出股票后可以转出资金吗？', '深交所上市债券实行净价交易有哪些？']",0.999403596,上交所可转债债转股能撤单吗？,1,1
银转证，怎么转不了,证券转银行为什么转不了？,"['证券转银行为什么转不了？', '外币证券转银行限额', '银证转账的时间？', '信用账户资金无法转出的原因', '为何账户有资金无法转出？']",0.999131143,证券转银行为什么转不了？,1,1
为何证券转银行转不出来,证券转银行为什么转不了？,"['证券转银行为什么转不了？', '外币证券转银行限额', '银证转账的时间？', '信用账户资金无法转出的原因', '为何账户有资金无法转出？']",0.999397635,证券转银行为什么转不了？,1,1
申购新股需要什么条件,新股申购的条件？,"['新股申购的条件？', '新股申购有数量要求吗？', '网下打新申报数量有什么规定？', '网下打新申报价格有什么规定？', '申购新股后为何查询不到配号？']",0.998489618,新股申购的条件？,1,1
新三板做市转让的申报的规则是什么？,新三板做市转让的申报规则？,"['新三板做市转让的申报规则？', '新三板股票协议转让的申报类型？', '新三板协议转让有哪些成交情况？', '新三板转让方式有哪些？', '新三板股价变动单位？']",0.999886394,新三板做市转让的申报规则？,1,1
支付新三板的挂牌费用的操作流程是怎样的,新三板挂牌费用如何支付？,"['新三板挂牌费用如何支付？', '新三板可以做融资融券交易吗？', '如何更换同一银行的三方存管银行卡？', '新三板的投资者有哪些？', '新三板协议转让有哪些成交情况？']",0.999255717,新三板挂牌费用如何支付？,1,1
为什么我转不了钱进来？,为何账户有资金无法转出？,"['为何账户有资金无法转出？', '当日卖出股票后可以转出资金吗？', '信用账户资金无法转出的原因', '证券转银行为什么转不了？', 'A股自助开户时转账失败，如何处理？']",0.992675483,为何账户有资金无法转出？,1,1
银证转账时间,银证转账的时间？,"['银证转账的时间？', '外币证券转银行限额', '转账失败的原因？', '信用账户资金无法转出的原因', '证券转银行为什么转不了？']",0.999020815,银证转账的时间？,1,1
不能登陆账号了,如何开户？,"['如何开户？', '同一个账号允许在不同的手机上同时登录吗？', '手机账号忘记了怎么办', '如何查询证券账号？', '如何注销证券账户？']",0.526242971,如何开户？,1,1
你好，我以前开户的账号和密码忘记了怎么办,手机账户密码忘记了怎么办,"['手机账户密码忘记了怎么办', '忘记资金密码怎么办？', '如何重置信用账户密码？', '如何修改账户资金密码？', '深市A股的增发代码是什么？']",0.999886513,手机账户密码忘记了怎么办,1,1
怎么不能转款,信用账户资金无法转出的原因,"['信用账户资金无法转出的原因', '为何账户有资金无法转出？', 'A股自助开户时转账失败，如何处理？', '当日卖出股票后可以转出资金吗？', '转账失败的原因？']",0.990463436,为何账户有资金无法转出？,0,1
登陆账号,如何开户？,"['如何开户？', '同一个账号允许在不同的手机上同时登录吗？', '手机账号忘记了怎么办', '如何注销证券账户？', '如何查询证券账号？']",0.699777722,如何开户？,1,1
两个手机同时登陆同一个账号.可以吗,手机账号忘记了怎么办,"['手机账号忘记了怎么办', '同一个账号允许在不同的手机上同时登录吗？', '手机账户密码忘记了怎么办', '信用账户开立后何时生效？', '信用账户对应银行的券商代码？']",0.99774456,同一个账号允许在不同的手机上同时登录吗？,0,1
为啥证券转银行转不了,证券转银行为什么转不了？,"['证券转银行为什么转不了？', '外币证券转银行限额', '银证转账的时间？', '信用账户资金无法转出的原因', '为何账户有资金无法转出？']",0.999376833,证券转银行为什么转不了？,1,1
信用账户购买非标的证券行吗？,信用账户可以购买非标的证券吗？,"['信用账户可以购买非标的证券吗？', '如何注销证券账户？', '信用证券账户卡遗失应如何处理？', '信用账户三方存管的银行有哪些？', '如何注销信用账户？']",0.993729115,信用账户可以购买非标的证券吗？,1,1
我的打新股还差哪些条件？,新股申购的条件？,"['新股申购的条件？', '网下打新申报数量有什么规定？', '网下打新申报价格有什么规定？', '申购新股后为何查询不到配号？', '信用账户新股中签缴款占用了自有资金会影响维持担保比例吗？']",0.989892244,新股申购的条件？,1,1
股票卖出的钱要多久能转入银行,当日卖出股票后可以转出资金吗？,"['当日卖出股票后可以转出资金吗？', '外币证券转银行限额', '银证转账的时间？', '证券转银行为什么转不了？', 'A股账户如何转户？']",0.998767138,当日卖出股票后可以转出资金吗？,1,1
身份证过期了怎么弄,身份证过期可以办理开户吗？,"['身份证过期可以办理开户吗？', '身份证过期如何办理？', '身份证到期影响账户交易吗？', '信用证券账户卡遗失应如何处理？', '深圳证券交易所证券代码编制原则是什么？']",0.996051729,身份证过期如何办理？,0,1
我创业板的权限怎么转签不过来呢,创业板权限转签如何操作？,"['创业板权限转签如何操作？', '三板交易权限如何取消？', '信用账户与普通账户的创业板权限需单独开立吗？', '如何转让中小企业私募债券？', '新三板与地方产权交易市场的区别？']",0.999432027,创业板权限转签如何操作？,1,1
上交所新股上市首日临时停牌期间还能进行委托吗,深交所新股上市首日临时停牌期间接受委托吗？,"['深交所新股上市首日临时停牌期间接受委托吗？', '上交所新股上市首日临时停牌期间接受委托吗？', '新股上市首日有涨跌幅限制吗？', '新股申购的市值计算范围？', '深交所对竞价交易临时停牌有何规定？']",0.999669552,上交所新股上市首日临时停牌期间接受委托吗？,0,1
我想查一下我的手续费率怎么查,多少资金能达到多少的佣金？,"['多少资金能达到多少的佣金？', '如何查询佣金费率？', '网上开户佣金是多少？', '如何收取股票交易佣金？', '信用账户的担保品买卖佣金费率与普通账户一致吗？']",0.994436026,如何查询佣金费率？,0,1
为什么银行转证券转账失败？,证券转银行为什么转不了？,"['证券转银行为什么转不了？', '外币证券转银行限额', '信用账户资金无法转出的原因', '转账失败的原因？', '为何账户有资金无法转出？']",0.999344766,证券转银行为什么转不了？,1,1
一般信用账户开立后几日能使用？,信用账户开立后何时生效？,"['信用账户开立后何时生效？', '信用账户开通条件', '信用账户销户条件？', '同一个账号允许在不同的手机上同时登录吗？', '信用账户交易允许市价委托吗？']",0.99266398,信用账户开立后何时生效？,1,1
请问网上自助开户手续费多少的？,网上开户佣金是多少？,"['网上开户佣金是多少？', 'A股开户是否收费？', '网上委托权限如何取消？', '如何查询佣金费率？', '自助开户后如何补办三方存管？']",0.99909091,网上开户佣金是多少？,1,1
你好，创业板怎么开通,创业板如何开通,"['创业板如何开通', '开通创业板权限对账户有什么要求？', '创业板权限首次开通？', '信用账户与普通账户的创业板权限需单独开立吗？', '创业板权限开通的办理时间']",0.99171114,创业板如何开通,1,1
能在手机更改密码吗？,忘记资金密码怎么办？,"['忘记资金密码怎么办？', '手机账户密码忘记了怎么办', '如何修改账户资金密码？', '如何重置信用账户密码？', '如何修改交易密码']",0.999451935,手机账户密码忘记了怎么办,0,1
全国股份转让系统和地方产权交易市场有什么区别？,新三板转让方式有哪些？,"['新三板转让方式有哪些？', '当日卖出股票后可以转出资金吗？', '如何转让中小企业私募债券？', '上交所可转债债转股能撤单吗？', '上交所股票期权行权价格间距如何设置？']",0.99296546,新三板与地方产权交易市场的区别？,0,0
我的登录密码忘了,手机账户密码忘记了怎么办,"['手机账户密码忘记了怎么办', '忘记资金密码怎么办？', '如何修改账户资金密码？', '忘记交易密码怎么办？', '如何修改交易密码']",0.99952805,手机账户密码忘记了怎么办,1,1
以前别人帮我代办开过一个账户，我现在想注销怎么处理,A股账户销户需由本人亲自办理吗？,"['A股账户销户需由本人亲自办理吗？', '身份证过期可以办理开户吗？', '手机账号忘记了怎么办', '网上开户佣金是多少？', '身份证过期如何办理？']",0.954521835,如何注销证券账户？,0,0
账户登陆不上,如何开户？,"['如何开户？', '同一个账号允许在不同的手机上同时登录吗？', '如何注销证券账户？', '如何注销信用账户？', '信用账户销户条件？']",0.972596049,如何开户？,1,1
如何可以买股票？,如何才可以买股票？,"['如何才可以买股票？', '如何交易股票？', '股票可以当天买入当天卖出吗？', 'ST股票为何无法买入？', 'A股自助开户时转账失败，如何处理？']",0.993216455,如何才可以买股票？,1,1
B股是T+0交易对不对？,B股实行T+0回转交易吗？,"['B股实行T+0回转交易吗？', '上海B股需要指定交易吗？', 'B股的委托申报方式？', '上海ST、*ST股的交易规则？', 'A股为什么要实行T+1股票交易制度？']",0.999954462,B股实行T+0回转交易吗？,1,1
交易登录密码忘了,手机账户密码忘记了怎么办,"['手机账户密码忘记了怎么办', '忘记交易密码怎么办？', '如何修改交易密码', '如何修改账户交易密码？', '深圳证券交易所证券代码编制原则是什么？']",0.998475134,忘记交易密码怎么办？,0,1
这个是时间是不是不交易了,股票的交易时间？,"['股票的交易时间？', '深圳大宗交易的成交确认时间？', '深交所对竞价交易临时停牌有何规定？', '上海ST、*ST股的交易规则？', '如何交易股票？']",0.761667073,股票的交易时间？,1,1
自助开户的第三方存管要怎么补办？,自助开户后如何补办三方存管？,"['自助开户后如何补办三方存管？', '如何注销三方存管账户？', '如何更换同一银行的三方存管银行卡？', '信用账户三方存管的银行有哪些？', '新三板挂牌费用如何支付？']",0.999485016,自助开户后如何补办三方存管？,1,1
我的交易费多少,如何收取股票交易佣金？,"['如何收取股票交易佣金？', '多少资金能达到多少的佣金？', '股票交易费用', '信用账户的担保品买卖佣金费率与普通账户一致吗？', '上交所债券的费用有哪些？']",0.988907874,多少资金能达到多少的佣金？,0,1
上交所股票期权行权价格间距的设置规则,上交所股票期权行权价格间距如何设置？,"['上交所股票期权行权价格间距如何设置？', '深交所对竞价交易临时停牌有何规定？', '如何修改成本价数值？', '网下打新申报价格有什么规定？', '深交所上市债券实行全价交易有哪些？']",0.999914408,上交所股票期权行权价格间距如何设置？,1,1
如何开通创业板指数,创业板如何开通,"['创业板如何开通', '开通创业板权限对账户有什么要求？', '创业板权限首次开通？', '上交所债券逆回购申报数量要求？', '创业板权限开通的办理时间']",0.993186235,创业板如何开通,1,1
资金密码忘记了，怎么办,忘记资金密码怎么办？,"['忘记资金密码怎么办？', '手机账户密码忘记了怎么办', '如何修改账户资金密码？', '忘记交易密码怎么办？', '如何修改交易密码']",0.999931693,忘记资金密码怎么办？,1,1
刚开户的,如何开户？,"['如何开户？', '如何注销信用账户？', '信用账户开通条件', '如何注销证券账户？', '信用账户开立后何时生效？']",0.99192363,如何开户？,1,1
怎样找回交易密码,忘记交易密码怎么办？,"['忘记交易密码怎么办？', '如何修改交易密码', '如何修改账户交易密码？', '深圳证券交易所证券代码编制原则是什么？', '忘记资金密码怎么办？']",0.999729455,忘记交易密码怎么办？,1,1
信用账户支持要约收购吗,信用账户可以操作要约收购吗？,"['信用账户可以操作要约收购吗？', '上交所债券逆回购申报数量要求？', '新股申购有数量要求吗？', '信用账户开立后何时生效？', '如何注销信用账户？']",0.996899605,信用账户可以操作要约收购吗？,1,1
新股中签会有信息通知吗？,新股中签会有短信通知吗？,"['新股中签会有短信通知吗？', '信用账户新股中签缴款占用了自有资金会影响维持担保比例吗？', '新股中签扣款时对现金增利有什么影响？', '新股中签如何缴款？', '新股中签扣款时对金快线有什么影响？']",0.999418497,新股中签会有短信通知吗？,1,1
你好我的登入账户是登录账户吗,如何开户？,"['如何开户？', '同一个账号允许在不同的手机上同时登录吗？', '如何注销证券账户？', '如何注销信用账户？', '信用账户销户条件？']",0.960435927,如何开户？,1,1
资金转不进来,为何账户有资金无法转出？,"['为何账户有资金无法转出？', '信用账户资金无法转出的原因', '证券转银行为什么转不了？', '转账失败的原因？', '外币证券转银行限额']",0.991912723,为何账户有资金无法转出？,1,1
